Name,TeamID,Positions,AvgRank,PosRank
Ja'Marr Chase,CIN,WR,1.07,WR1
Bijan Robinson,ATL,RB,2.51,RB1
Justin Jefferson,MIN,WR,3.81,WR2
CeeDee Lamb,DAL,WR,3.91,WR3
Jahmyr Gibbs,DET,RB,6.44,RB2
Puka Nacua,LAR,WR,7.09,WR4
Malik Nabers,NYG,WR,7.31,WR5
Amon-Ra St. Brown,DET,WR,8.80,WR6
Saquon Barkley,PHI,RB,9.00,RB3
Nico Collins,HOU,WR,10.06,WR7
Brian Thomas Jr.,JAC,WR,11.30,WR8
Drake London,ATL,WR,13.10,WR9
Christian McCaffrey,SF,RB,15.36,RB4
De'Von Achane,MIA,RB,15.70,RB5
Ashton Jeanty,LV,RB,16.20,RB6
Brock Bowers,LV,TE,16.77,TE1
A.J. Brown,PHI,WR,17.71,WR10
Ladd McConkey,LAC,WR,18.40,WR11
Jaxon Smith-Njigba,SEA,WR,20.56,WR12
Trey McBride,ARI,TE,20.69,TE2
Garrett Wilson,NYJ,WR,22.60,WR13
Derrick Henry,BAL,RB,22.69,RB7
Tee Higgins,CIN,WR,24.49,WR14
Josh Allen,BUF,QB,25.01,QB1
Tyreek Hill,MIA,WR,25.24,WR15
Lamar Jackson,BAL,QB,25.76,QB2
Chase Brown,CIN,RB,29.07,RB8
Josh Jacobs,GB,RB,29.33,RB9
Bucky Irving,TB,RB,29.47,RB10
Davante Adams,LAR,WR,30.09,WR16
Jayden Daniels,WAS,QB,31.76,QB3
George Kittle,SF,TE,32.83,TE3
Jonathan Taylor,IND,RB,33.09,RB11
Mike Evans,TB,WR,34.14,WR17
Terry McLaurin,WAS,WR,35.73,WR18
Jalen Hurts,PHI,QB,37.60,QB4
Kyren Williams,LAR,RB,38.46,RB12
DJ Moore,CHI,WR,38.80,WR19
Breece Hall,NYJ,RB,38.96,RB13
Marvin Harrison Jr.,ARI,WR,39.16,WR20
Alvin Kamara,NO,RB,40.21,RB14
Rashee Rice,KC,WR,44.57,WR21
Kenneth Walker III,SEA,RB,44.79,RB15
DK Metcalf,PIT,WR,46.53,WR22
Courtland Sutton,DEN,WR,46.56,WR23
James Cook,BUF,RB,46.70,RB16
DeVonta Smith,PHI,WR,47.84,WR24
Joe Burrow,CIN,QB,48.19,QB5
Chuba Hubbard,CAR,RB,50.21,RB17
Zay Flowers,BAL,WR,51.23,WR25
James Conner,ARI,RB,52.83,RB18
Omarion Hampton,LAC,RB,56.00,RB19
Jaylen Waddle,MIA,WR,56.81,WR26
Tetairoa McMillan,CAR,WR,57.47,WR27
Joe Mixon,HOU,RB,57.47,RB20
Chris Olave,NO,WR,57.47,WR28
Xavier Worthy,KC,WR,61.67,WR29
Jameson Williams,DET,WR,63.24,WR30
Patrick Mahomes II,KC,QB,63.71,QB6
Sam LaPorta,DET,TE,65.09,TE4
T.J. Hockenson,MIN,TE,66.01,TE5
D'Andre Swift,CHI,RB,66.53,RB21
David Montgomery,DET,RB,66.74,RB22
Chris Godwin,TB,WR,66.81,WR31
Travis Hunter,JAC,WR,67.28,WR32
Baker Mayfield,TB,QB,67.57,QB7
Calvin Ridley,TEN,WR,68.29,WR33
George Pickens,DAL,WR,68.79,WR34
Jerry Jeudy,CLE,WR,69.53,WR35
Aaron Jones Sr.,MIN,RB,69.80,RB23
RJ Harvey,DEN,RB,70.63,RB24
TreVeyon Henderson,NE,RB,71.77,RB25
Bo Nix,DEN,QB,74.99,QB8
Tony Pollard,TEN,RB,75.10,RB26
Isiah Pacheco,KC,RB,75.21,RB27
Travis Kelce,KC,TE,76.46,TE6
Kyler Murray,ARI,QB,78.40,QB9
Kaleb Johnson,PIT,RB,78.53,RB28
Rome Odunze,CHI,WR,78.80,WR36
Jordan Addison,MIN,WR,80.09,WR37
Evan Engram,DEN,TE,80.74,TE7
Jakobi Meyers,LV,WR,82.49,WR38
Jauan Jennings,SF,WR,84.01,WR39
Khalil Shakir,BUF,WR,84.40,WR40
David Njoku,CLE,TE,85.16,TE8
Brian Robinson Jr.,WAS,RB,87.17,RB29
Stefon Diggs,NE,WR,87.67,WR41
Mark Andrews,BAL,TE,89.60,TE9
Justin Fields,NYJ,QB,91.63,QB10
Travis Etienne Jr.,JAC,RB,91.97,RB30
Jaylen Warren,PIT,RB,91.97,RB31
Brock Purdy,SF,QB,92.34,QB11
Caleb Williams,CHI,QB,95.41,QB12
Dak Prescott,DAL,QB,95.46,QB13
Josh Downs,IND,WR,96.26,WR42
Justin Herbert,LAC,QB,97.14,QB14
Tyrone Tracy Jr.,NYG,RB,98.27,RB32
Jared Goff,DET,QB,98.59,QB15
Michael Pittman Jr.,IND,WR,101.11,WR43
Deebo Samuel Sr.,WAS,WR,102.19,WR44
Jayden Reed,GB,WR,102.44,WR45
Ricky Pearsall,SF,WR,104.04,WR46
Javonte Williams,DAL,RB,104.19,RB33
Tucker Kraft,GB,TE,104.43,TE10
Quinshon Judkins,CLE,RB,104.67,RB34
Cooper Kupp,SEA,WR,106.63,WR47
Drake Maye,NE,QB,107.16,QB16
Jordan Love,GB,QB,108.20,QB17
Najee Harris,LAC,RB,108.46,RB35
Jake Ferguson,DAL,TE,109.39,TE11
Trevor Lawrence,JAC,QB,113.24,QB18
Dalton Kincaid,BUF,TE,113.96,TE12
C.J. Stroud,HOU,QB,115.16,QB19
Zach Charbonnet,SEA,RB,115.67,RB36
Darnell Mooney,ATL,WR,116.03,WR48
Brandon Aiyuk,SF,WR,116.40,WR49
Rhamondre Stevenson,NE,RB,117.23,RB37
Tyjae Spears,TEN,RB,121.16,RB38
Jordan Mason,MIN,RB,121.86,RB39
Cam Skattebo,NYG,RB,122.20,RB40
Dallas Goedert,PHI,TE,124.14,TE13
J.J. McCarthy,MIN,QB,124.16,QB20
Rachaad White,TB,RB,124.34,RB41
Tyler Warren,IND,TE,124.93,TE14
Emeka Egbuka,TB,WR,128.03,WR50
Matthew Stafford,LAR,QB,129.96,QB21
Christian Kirk,HOU,WR,129.99,WR51
Tua Tagovailoa,MIA,QB,132.10,QB22
